Start time,End time,Round trip time,processing delay,Before-inference-time,After-inference-time,total-process,resizing-time,requesttime,decompress time,np conv,bytes to image
1714462640.9047313,1714462641.051285,0.14655375480651855,0.01821279525756836,1714462641.0181115,1714462641.0363243,0.11387395858764648,0.0011065006256103516,0.08700251579284668,0.0012557506561279297,1.6450881958007812e-05,0.0062792301177978516
1714462641.0806475,1714462641.1638713,0.08322381973266602,0.017319917678833008,1714462641.131253,1714462641.148573,0.06056046485900879,0.003062725067138672,0.03186917304992676,0.001543283462524414,1.3113021850585938e-05,0.006751537322998047
1714462641.1878755,1714462641.281408,0.09353256225585938,0.01594686508178711,1714462641.2507365,1714462641.2666833,0.07411646842956543,0.0010776519775390625,0.0477139949798584,0.0012896060943603516,1.2874603271484375e-05,0.008074760437011719
1714462641.312021,1714462641.3626175,0.05059647560119629,0.014289140701293945,1714462641.3342257,1714462641.3485148,0.03154802322387695,0.0010526180267333984,0.008054494857788086,0.0009837150573730469,1.0013580322265625e-05,0.007157564163208008
1714462641.385739,1714462641.435388,0.04964900016784668,0.014843463897705078,1714462641.4056118,1714462641.4204552,0.02966141700744629,0.0010406970977783203,0.006650686264038086,0.0008244514465332031,9.059906005859375e-06,0.006292581558227539
1714462641.4606633,1714462641.509247,0.0485837459564209,0.014617681503295898,1714462641.480851,1714462641.4954686,0.031568050384521484,0.0011281967163085938,0.008386373519897461,0.0011670589447021484,1.1205673217773438e-05,0.006257057189941406
1714462641.5330307,1714462641.584027,0.05099630355834961,0.014517545700073242,1714462641.555373,1714462641.5698905,0.0345003604888916,0.0009963512420654297,0.011148452758789062,0.0010635852813720703,1.049041748046875e-05,0.006763458251953125
1714462641.6086476,1714462641.6589324,0.05028486251831055,0.013937234878540039,1714462641.631186,1714462641.6451232,0.03421354293823242,0.0009768009185791016,0.009734869003295898,0.0012631416320800781,1.0728836059570312e-05,0.008289813995361328
1714462641.6800506,1714462641.7316873,0.051636695861816406,0.013387441635131836,1714462641.7041457,1714462641.717533,0.03200721740722656,0.0009906291961669922,0.009506940841674805,0.0009889602661132812,9.5367431640625e-06,0.007123231887817383
1714462641.7680657,1714462641.8221557,0.054090023040771484,0.013719797134399414,1714462641.7931213,1714462641.8068411,0.03479790687561035,0.0010838508605957031,0.009719610214233398,0.0012536048889160156,1.049041748046875e-05,0.009010076522827148
