Start time,End time,Round trip time,processing delay,Before-inference-time,After-inference-time,total-process,resizing-time,requesttime,decompress time,np conv,bytes to image
1714462066.8289971,1714462067.0295775,0.20058035850524902,0.018286466598510742,1714462067.004446,1714462067.0227325,0.08979296684265137,0.0015099048614501953,0.061403751373291016,0.0015900135040283203,6.914138793945312e-05,0.0069332122802734375
1714462067.0683143,1714462067.197418,0.1291036605834961,0.014763355255126953,1714462067.172187,1714462067.1869504,0.08786177635192871,0.0011358261108398438,0.0643458366394043,0.0012462139129638672,1.1205673217773438e-05,0.0063588619232177734
1714462067.2260659,1714462067.292561,0.06649518013000488,0.014050483703613281,1714462067.2844536,1714462067.298504,0.04472541809082031,0.0010309219360351562,0.02175617218017578,0.0012645721435546875,1.1444091796875e-05,0.006610870361328125
1714462067.3311496,1714462067.4070253,0.07587575912475586,0.015483379364013672,1714462067.3970687,1714462067.412552,0.049913644790649414,0.0010170936584472656,0.025477170944213867,0.0011622905731201172,1.049041748046875e-05,0.006762027740478516
1714462067.4535513,1714462067.5562587,0.1027073860168457,0.015027046203613281,1714462067.54814,1714462067.563167,0.07863759994506836,0.0010983943939208984,0.054236412048339844,0.0013687610626220703,1.239776611328125e-05,0.00689387321472168
1714462067.6081617,1714462067.6828263,0.07466459274291992,0.014671564102172852,1714462067.6751127,1714462067.6897843,0.05011582374572754,0.0009877681732177734,0.02568817138671875,0.0012505054473876953,1.1682510375976562e-05,0.007505655288696289
1714462067.7236316,1714462067.8007214,0.07708978652954102,0.016673564910888672,1714462067.788675,1714462067.8053486,0.05143570899963379,0.0011322498321533203,0.02409219741821289,0.001188039779663086,1.2874603271484375e-05,0.008336305618286133
1714462067.8629022,1714462067.9582658,0.09536361694335938,0.017612695693969727,1714462067.946655,1714462067.9642677,0.05890679359436035,0.0011980533599853516,0.028792142868041992,0.0013797283172607422,2.2411346435546875e-05,0.009901285171508789
1714462067.992954,1714462068.093475,0.10052108764648438,0.015333175659179688,1714462068.081415,1714462068.096748,0.06979751586914062,0.0012123584747314453,0.04200863838195801,0.0013408660888671875,1.4781951904296875e-05,0.009887218475341797
1714462068.1475732,1714462068.268118,0.1205446720123291,0.014387845993041992,1714462068.2555966,1714462068.2699845,0.0827949047088623,0.0010886192321777344,0.05758213996887207,0.0015208721160888672,1.2636184692382812e-05,0.008202314376831055
1714462068.3507552,1714462068.4250739,0.07431864738464355,0.014631986618041992,1714462068.4181795,1714462068.4328115,0.05262184143066406,0.0010371208190917969,0.027719974517822266,0.0011687278747558594,1.0967254638671875e-05,0.008052587509155273
1714462068.5061955,1714462068.6056292,0.09943366050720215,0.014657258987426758,1714462068.5969653,1714462068.6116226,0.054424285888671875,0.0011000633239746094,0.030145645141601562,0.0012629032135009766,1.0967254638671875e-05,0.007246732711791992
1714462068.6571271,1714462068.7541018,0.09697461128234863,0.014548301696777344,1714462068.746295,1714462068.7608433,0.05177426338195801,0.0010755062103271484,0.02683711051940918,0.0011565685272216797,1.0967254638671875e-05,0.008145332336425781
1714462068.8168685,1714462068.928213,0.1113443374633789,0.014322519302368164,1714462068.8909206,1714462068.9052432,0.05602288246154785,0.001094818115234375,0.03113842010498047,0.001264810562133789,1.1444091796875e-05,0.008190393447875977
1714462069.0149665,1714462069.2313268,0.21636033058166504,0.015212774276733398,1714462069.1860664,1714462069.2012792,0.12308812141418457,0.0010745525360107422,0.09649896621704102,0.0012464523315429688,1.1444091796875e-05,0.009043693542480469
1714462069.3055267,1714462069.526423,0.22089624404907227,0.015100955963134766,1714462069.4921615,1714462069.5072625,0.12940406799316406,0.0011556148529052734,0.10502839088439941,0.00125885009765625,1.2159347534179688e-05,0.006847381591796875
1714462069.5837939,1714462069.8270667,0.2432727813720703,0.01472330093383789,1714462069.790983,1714462069.8057063,0.13021135330200195,0.0010859966278076172,0.10566115379333496,0.0012562274932861328,1.239776611328125e-05,0.007471799850463867
1714462069.9096892,1714462070.1564069,0.2467176914215088,0.020976543426513672,1714462070.1157036,1714462070.1366801,0.13879060745239258,0.0011448860168457031,0.10718989372253418,0.0013964176177978516,1.9073486328125e-05,0.008062601089477539
1714462070.2214649,1714462070.4551694,0.2337045669555664,0.01675724983215332,1714462070.4190423,1714462070.4357996,0.1324303150177002,0.0011134147644042969,0.10495424270629883,0.0012738704681396484,1.2636184692382812e-05,0.008318424224853516
1714462070.562378,1714462070.8035123,0.2411344051361084,0.019785404205322266,1714462070.7643049,1714462070.7840903,0.1357710361480713,0.0011856555938720703,0.10627341270446777,0.001386404037475586,1.6927719116210938e-05,0.0071218013763427734
1714462070.8595536,1714462070.983642,0.12408852577209473,0.0171811580657959,1714462070.9747534,1714462070.9919345,0.06253409385681152,0.0011076927185058594,0.03465723991394043,0.001291036605834961,1.2636184692382812e-05,0.008283615112304688
1714462071.0406332,1714462071.1784985,0.13786530494689941,0.01594853401184082,1714462071.1489398,1714462071.1648884,0.06550884246826172,0.001065969467163086,0.04104876518249512,0.0012829303741455078,1.1682510375976562e-05,0.006150484085083008
1714462071.2465425,1714462071.3553782,0.10883569717407227,0.015556573867797852,1714462071.3476124,1714462071.363169,0.07270145416259766,0.0010476112365722656,0.04733085632324219,0.0012662410736083984,1.2636184692382812e-05,0.007486581802368164
1714462071.4413629,1714462071.5179312,0.0765683650970459,0.018023252487182617,1714462071.511435,1714462071.5294583,0.05513429641723633,0.0011911392211914062,0.02826833724975586,0.0015306472778320312,1.9311904907226562e-05,0.006100893020629883
1714462071.5738723,1714462071.6917222,0.11784982681274414,0.021891355514526367,1714462071.6744955,1714462071.6963868,0.06820058822631836,0.0010912418365478516,0.03739571571350098,0.0013866424560546875,1.3589859008789062e-05,0.006421566009521484
1714462071.7940166,1714462072.0079782,0.21396160125732422,0.018993616104125977,1714462071.9712834,1714462071.990277,0.12018704414367676,0.0014646053314208984,0.08902835845947266,0.001416921615600586,1.2636184692382812e-05,0.009269475936889648
1714462072.0762815,1714462072.3341317,0.25785017013549805,0.017097949981689453,1714462072.2965655,1714462072.3136635,0.1363368034362793,0.0011043548583984375,0.11032772064208984,0.0014026165008544922,1.2874603271484375e-05,0.006390571594238281
1714462072.4199076,1714462072.6677113,0.2478036880493164,0.015246152877807617,1714462072.6344872,1714462072.6497333,0.130873441696167,0.0010666847229003906,0.10495710372924805,0.0012965202331542969,1.1682510375976562e-05,0.008294820785522461
1714462072.7372348,1714462072.9231126,0.18587779998779297,0.014403581619262695,1714462072.919823,1714462072.9342265,0.1328725814819336,0.0011131763458251953,0.10688471794128418,0.0015990734100341797,1.3589859008789062e-05,0.008858203887939453
1714462072.9936273,1714462073.0915241,0.09789681434631348,0.016033411026000977,1714462073.07655,1714462073.0925834,0.05819582939147949,0.0010142326354980469,0.03317403793334961,0.0012998580932617188,1.0728836059570312e-05,0.006662845611572266
1714462073.146364,1714462073.241717,0.0953531265258789,0.014978885650634766,1714462073.239228,1714462073.254207,0.05624079704284668,0.0010941028594970703,0.03090047836303711,0.001256704330444336,1.2159347534179688e-05,0.007997989654541016
1714462073.3306227,1714462073.4190028,0.08838009834289551,0.014721393585205078,1714462073.4161966,1714462073.430918,0.05440664291381836,0.0015938282012939453,0.029421329498291016,0.0012445449829101562,1.1920928955078125e-05,0.007413148880004883
1714462073.4583402,1714462073.5532746,0.09493446350097656,0.017072677612304688,1714462073.5465145,1714462073.5635872,0.05822634696960449,0.0011439323425292969,0.029671669006347656,0.0012555122375488281,1.6927719116210938e-05,0.00906515121459961
1714462073.6110404,1714462073.724063,0.1130225658416748,0.016196250915527344,1714462073.7209566,1714462073.7371528,0.07308578491210938,0.0011124610900878906,0.0484919548034668,0.0012722015380859375,1.3113021850585938e-05,0.005999088287353516
1714462073.776839,1714462073.902112,0.1252729892730713,0.01537775993347168,1714462073.8791723,1714462073.89455,0.05437207221984863,0.0010051727294921875,0.029412508010864258,0.0011539459228515625,1.239776611328125e-05,0.007409811019897461
1714462073.9522195,1714462074.1663737,0.21415424346923828,0.015087366104125977,1714462074.134327,1714462074.1494143,0.12338066101074219,0.0010395050048828125,0.09739947319030762,0.0012547969818115234,1.2636184692382812e-05,0.00858616828918457
1714462074.2164447,1714462074.4401746,0.22372984886169434,0.016855478286743164,1714462074.4072938,1714462074.4241493,0.13037729263305664,0.0011248588562011719,0.10347318649291992,0.0012574195861816406,1.4543533325195312e-05,0.007651329040527344
1714462074.5128608,1714462074.7457252,0.2328643798828125,0.015350341796875,1714462074.7149634,1714462074.7303138,0.13472914695739746,0.0011038780212402344,0.10822057723999023,0.0013968944549560547,1.2874603271484375e-05,0.00864410400390625
1714462074.85544,1714462075.1162739,0.2608339786529541,0.0200955867767334,1714462075.071656,1714462075.0917516,0.1342785358428955,0.001149892807006836,0.10482931137084961,0.00125885009765625,2.09808349609375e-05,0.006922721862792969
1714462075.226481,1714462075.47366,0.2471790313720703,0.01608443260192871,1714462075.4433126,1714462075.459397,0.13533663749694824,0.0011358261108398438,0.11049342155456543,0.0015208721160888672,1.3589859008789062e-05,0.0060880184173583984
1714462075.5316956,1714462075.7650518,0.23335623741149902,0.01827692985534668,1714462075.7334106,1714462075.7516875,0.13563299179077148,0.0012042522430419922,0.10706162452697754,0.001735687255859375,1.7642974853515625e-05,0.007336139678955078
1714462075.8391418,1714462075.9432204,0.10407853126525879,0.015170812606811523,1714462075.9435217,1714462075.9586926,0.05498075485229492,0.0010747909545898438,0.03043675422668457,0.001256704330444336,1.1682510375976562e-05,0.007029533386230469
1714462076.00153,1714462076.104138,0.10260796546936035,0.014232397079467773,1714462076.1022675,1714462076.1165,0.0631411075592041,0.001009225845336914,0.035706281661987305,0.0014786720275878906,1.1920928955078125e-05,0.010702133178710938
1714462076.1693332,1714462076.2687085,0.09937524795532227,0.014091968536376953,1714462076.2710366,1714462076.2851286,0.07589411735534668,0.001066446304321289,0.05069398880004883,0.001283407211303711,1.0728836059570312e-05,0.008746862411499023
1714462076.3329833,1714462076.4316225,0.09863924980163574,0.014184236526489258,1714462076.426892,1714462076.4410763,0.05051851272583008,0.00109100341796875,0.026611328125,0.001157522201538086,1.049041748046875e-05,0.007463216781616211
1714462076.5123267,1714462076.6173692,0.1050424575805664,0.015235662460327148,1714462076.611616,1714462076.6268516,0.052143096923828125,0.0010180473327636719,0.027760744094848633,0.0012536048889160156,1.2159347534179688e-05,0.0068624019622802734
1714462076.6709268,1714462076.7892416,0.11831474304199219,0.015085458755493164,1714462076.7870076,1714462076.802093,0.05116152763366699,0.000997781753540039,0.02697134017944336,0.0011417865753173828,1.1205673217773438e-05,0.006953239440917969
1714462076.8437514,1714462077.0863707,0.24261927604675293,0.019326210021972656,1714462077.0475187,1714462077.066845,0.1360764503479004,0.0011491775512695312,0.10587024688720703,0.0014004707336425781,1.7881393432617188e-05,0.008311271667480469
1714462077.1281736,1714462077.3492565,0.2210829257965088,0.015007734298706055,1714462077.3208134,1714462077.3358212,0.13001632690429688,0.0011935234069824219,0.10334277153015137,0.0013344287872314453,1.0728836059570312e-05,0.009126901626586914
1714462077.442419,1714462077.65959,0.21717095375061035,0.014333248138427734,1714462077.6339445,1714462077.6482778,0.13914704322814941,0.0012331008911132812,0.1123514175415039,0.0013728141784667969,1.239776611328125e-05,0.009843587875366211
1714462077.7482975,1714462077.969124,0.2208266258239746,0.019173622131347656,1714462077.9552555,1714462077.9744291,0.13948822021484375,0.0011458396911621094,0.10976290702819824,0.001287221908569336,2.2649765014648438e-05,0.008095264434814453
1714462078.0422635,1714462078.2804701,0.2382066249847412,0.0173494815826416,1714462078.2464395,1714462078.263789,0.13122797012329102,0.0011386871337890625,0.10469698905944824,0.0013766288757324219,1.6689300537109375e-05,0.0066487789154052734
1714462078.3729334,1714462078.5933633,0.2204298973083496,0.015233516693115234,1714462078.5661952,1714462078.5814288,0.1302332878112793,0.0011074542999267578,0.10360050201416016,0.0012543201446533203,1.2159347534179688e-05,0.009024858474731445
1714462078.67665,1714462078.9117124,0.2350623607635498,0.015148162841796875,1714462078.8865888,1714462078.901737,0.13167309761047363,0.0011112689971923828,0.10555696487426758,0.0012700557708740234,1.2636184692382812e-05,0.008573532104492188
1714462078.9854188,1714462079.2165194,0.23110055923461914,0.014809608459472656,1714462079.1921654,1714462079.206975,0.12910771369934082,0.0011093616485595703,0.10379314422607422,0.0017130374908447266,1.4781951904296875e-05,0.0076673030853271484
1714462079.2974532,1714462079.51323,0.21577692031860352,0.015244483947753906,1714462079.4883463,1714462079.5035908,0.12767863273620605,0.001039743423461914,0.10217022895812988,0.001523733139038086,1.4066696166992188e-05,0.007685661315917969
1714462079.6400447,1714462079.880301,0.24025630950927734,0.015833139419555664,1714462079.8531144,1714462079.8689475,0.12619256973266602,0.0012226104736328125,0.10107207298278809,0.0015468597412109375,1.3589859008789062e-05,0.0065038204193115234
1714462079.9409978,1714462080.048457,0.10745906829833984,0.016643047332763672,1714462080.0512087,1714462080.0678518,0.060527801513671875,0.0010695457458496094,0.03072333335876465,0.0017292499542236328,2.5272369384765625e-05,0.010336875915527344
1714462080.104186,1714462080.212675,0.1084890365600586,0.017339706420898438,1714462080.211974,1714462080.2293136,0.05527496337890625,0.0011668205261230469,0.026558637619018555,0.001741647720336914,2.09808349609375e-05,0.008446693420410156
